,m,n,beta,d,b_batch,seed,gap
0,100,25,0.0,1,1,42,1.75
1,100,25,0.0,1,1,67,1.75
2,100,25,0.0,1,1,77,1.75
3,100,25,0.0,1,1,69,1.75
4,100,25,0.0,1,1,13,0.75
5,100,25,0.0,1,1,28430,1.75
6,100,25,0.0,1,1,44015,1.75
7,100,25,0.0,1,1,42699,1.75
8,100,25,0.0,1,1,57975,1.75
9,100,25,0.0,1,1,32146,2.75
10,100,25,0.0,2,1,42,1.75
11,100,25,0.0,2,1,67,1.75
12,100,25,0.0,2,1,77,1.75
13,100,25,0.0,2,1,69,1.75
14,100,25,0.0,2,1,13,0.75
15,100,25,0.0,2,1,28430,1.75
16,100,25,0.0,2,1,44015,1.75
17,100,25,0.0,2,1,42699,1.75
18,100,25,0.0,2,1,57975,1.75
19,100,25,0.0,2,1,32146,2.75
20,100,25,0.0,4,1,42,1.75
21,100,25,0.0,4,1,67,1.75
22,100,25,0.0,4,1,77,1.75
23,100,25,0.0,4,1,69,1.75
24,100,25,0.0,4,1,13,0.75
25,100,25,0.0,4,1,28430,1.75
26,100,25,0.0,4,1,44015,1.75
27,100,25,0.0,4,1,42699,1.75
28,100,25,0.0,4,1,57975,1.75
29,100,25,0.0,4,1,32146,2.75
30,100,25,0.0,6,1,42,1.75
31,100,25,0.0,6,1,67,1.75
32,100,25,0.0,6,1,77,1.75
33,100,25,0.0,6,1,69,1.75
34,100,25,0.0,6,1,13,0.75
35,100,25,0.0,6,1,28430,1.75
36,100,25,0.0,6,1,44015,1.75
37,100,25,0.0,6,1,42699,1.75
38,100,25,0.0,6,1,57975,1.75
39,100,25,0.0,6,1,32146,2.75
40,100,25,0.0,8,1,42,1.75
41,100,25,0.0,8,1,67,1.75
42,100,25,0.0,8,1,77,1.75
43,100,25,0.0,8,1,69,1.75
44,100,25,0.0,8,1,13,0.75
45,100,25,0.0,8,1,28430,1.75
46,100,25,0.0,8,1,44015,1.75
47,100,25,0.0,8,1,42699,1.75
48,100,25,0.0,8,1,57975,1.75
49,100,25,0.0,8,1,32146,2.75
50,100,25,0.25,1,1,42,1.75
51,100,25,0.25,1,1,67,1.75
52,100,25,0.25,1,1,77,1.75
53,100,25,0.25,1,1,69,1.75
54,100,25,0.25,1,1,13,0.75
55,100,25,0.25,1,1,28430,1.75
56,100,25,0.25,1,1,44015,1.75
57,100,25,0.25,1,1,42699,1.75
58,100,25,0.25,1,1,57975,1.75
59,100,25,0.25,1,1,32146,2.75
60,100,25,0.25,2,1,42,1.75
61,100,25,0.25,2,1,67,1.75
62,100,25,0.25,2,1,77,1.75
63,100,25,0.25,2,1,69,1.75
64,100,25,0.25,2,1,13,1.75
65,100,25,0.25,2,1,28430,1.75
66,100,25,0.25,2,1,44015,1.75
67,100,25,0.25,2,1,42699,1.75
68,100,25,0.25,2,1,57975,1.75
69,100,25,0.25,2,1,32146,1.75
70,100,25,0.25,4,1,42,1.75
71,100,25,0.25,4,1,67,0.75
72,100,25,0.25,4,1,77,1.75
73,100,25,0.25,4,1,69,1.75
74,100,25,0.25,4,1,13,1.75
75,100,25,0.25,4,1,28430,1.75
76,100,25,0.25,4,1,44015,1.75
77,100,25,0.25,4,1,42699,1.75
78,100,25,0.25,4,1,57975,1.75
79,100,25,0.25,4,1,32146,2.75
80,100,25,0.25,6,1,42,1.75
81,100,25,0.25,6,1,67,1.75
82,100,25,0.25,6,1,77,1.75
83,100,25,0.25,6,1,69,1.75
84,100,25,0.25,6,1,13,0.75
85,100,25,0.25,6,1,28430,1.75
86,100,25,0.25,6,1,44015,2.75
87,100,25,0.25,6,1,42699,0.75
88,100,25,0.25,6,1,57975,2.75
